Task,DataSize,Nodes,TimeMs
BasicStats,1000000,4,4.9713
Histogram,1000000,4,6.2518
Sorting,1000000,4,139.428
Correlation,1000000,4,1.2619
MovingAverage,1000000,4,10.1813
OutlierDetection,1000000,4,6.0978
BasicStats,100000000,4,1211.43
Histogram,100000000,4,1254.6
Sorting,100000000,4,30623.2
Correlation,100000000,4,3194.59
MovingAverage,100000000,4,726.865
OutlierDetection,100000000,4,386.298
BasicStats,10000000,1,27.0681
Histogram,10000000,1,184.562
Sorting,10000000,1,1676.81
Correlation,10000000,1,40.0016
MovingAverage,10000000,1,68.3988
OutlierDetection,10000000,1,52.1877
BasicStats,1000000,4,2.3669
Histogram,1000000,4,4.5262
Sorting,1000000,4,88.795
Correlation,1000000,4,1.0369
MovingAverage,1000000,4,6.4572
OutlierDetection,1000000,4,3.9228
BasicStats,10000000,4,12.1746
Histogram,10000000,4,56.3336
Sorting,10000000,4,2224.56
Correlation,10000000,4,27.4392
MovingAverage,10000000,4,78.629
OutlierDetection,10000000,4,65.9778
